U_Id,Product_Id,Product_Name,Accessorie_id,Zipper_Id,Spout,Size_Id,Volume,Width,Height,Guerret,All Price,Clear_Price,Biodegradable_Price,Ultra Clear_Price,SUP Pouch With Zipper oval window_Price,"Stripped Brown Paper look
With Zipper_Price",SUP Pouch With Zipper   Jute    Look _Price,Brown paper stand up pouch with zipper_Price,SUP Pouch With Brown Paper   Zipper  oval window_Price,Brown Paper & White Paper SUP Pouch Zipper Full Rectangle Window_Price,"One Side Brown Paper       side Clear Sup pouch
 with zipper_Price"
,3,Standup pouch,No Accessorie,No zip,No Spout,,28 gm,80,130,25,1.75,1.45,2.88,1.5,,,,2.5,,,2.4
,3,Standup pouch,No Accessorie,with Zipper,No Spout,,28 gm,80,130,25,2.1,1.75,3.1,1.8,,,,2.8,,,2.65
,3,Standup pouch,No Accessorie,with Zipper,No Spout,,50 gm,95,150,30,2.85,2.35,4.31,,,,,3.75,,3.75,3.15
,3,Standup pouch,No Accessorie,with Zipper,No Spout,,70 gm,110,170,35,3.05,2.75,4.9,2.75,3.05,3.05,3.05,4.3,5.15,4.3,3.7
,3,Standup pouch,No Accessorie,with Zipper,No Spout,,100 gm,120,200,40,3.55,3.1,5.7,,,,,5.05,,5.05,4.15
,3,Standup pouch,No Accessorie,with Zipper,No Spout,,150 gm,130,210,40,4,3.4,6.2,3.4,4,4,4,5.5,6.7,5.5,4.5
,3,Standup pouch,No Accessorie,with Zipper,No Spout,,250 gm,160,230,45,5.2,4.45,8,4.4,5.2,,5.2,7.1,8.35,7.1,5.75
,3,Standup pouch,No Accessorie,with Zipper,No Spout,,350 gm,170,250,45,6.05,5,9.43,,,,,8.2,,8.2,6.6
,3,Standup pouch,No Accessorie,with Zipper,No Spout,,500 gm,190,260,55,6.55,5.45,10.2,,6.55,6.55,6.55,9.1,11,9.1,7.5
,3,Standup pouch,No Accessorie,with Zipper,No Spout,,750 gm    ,210,310,55,7.8,6.4,12.4,,,,,10.05,,10.05,9.35
,3,Standup pouch,No Accessorie,with Zipper,No Spout,,1 kg,265,345,60,9.35,7.5,14.8,,,9.35,9.35,13,,13,10.95
,3,Standup pouch  Die Cut Handle,Die cut Handle,with Zipper,No Spout,,3 kg,300,500,70,20.55,,,,,,,,,,
,3,standup pouch Die Cut Handle,No Accessorie,with Zipper,No Spout,,3 kg,300,500,70,20.55,,,,,,,,,,
,3,standup pouch Die Cut Handle,Die cut Handle,with Zipper,No Spout,,4 kg,380,550,90,31.25,,,,,,,,,,
,3,standup pouch Die Cut Handle,No Accessorie,with Zipper,No Spout,,4 kg,380,550,90,31.25,,,,,,,,,,
,1,Side Gusset Bags,No Accessorie,No zip,No Spout,,100 gm,70,210,15,2.75,,,,,,,,,,
,1,side Gusset Bags,No Accessorie,No zip,No Spout,,250 gm,80,260,25,3.95,,,,,,,5.6,,,
,1,side Gusset Bags,No Accessorie,No zip,No Spout,,500 gm ,85,360,30,5.5,,,,,,,8,,,
,1,side Gusset Bags,No Accessorie,No zip,No Spout,,1 kg ,135,390,30,7.85,,,,,,,11.7,,,
,1,side Gusset Bags,No Accessorie,No zip,No Spout,,2 kg,170,495,55,15,,,,,,,,,,
,1,side Gusset Bags,No Accessorie,No zip,No Spout,,3 kg,210,510,55,17.5,,,,,,,,,,
,12,Vacuum Bags / Liquid Packaging,No Accessorie,No zip,No Spout,,50 gm,100,140,30,2.6,,,,,,,,,,
,12,Vacuum Bags / Liquid Packaging,No Accessorie,No zip,No Spout,,70 gm,110,170,40,3.1,,,,,,,,,,
,12,Vacuum Bags / Liquid Packaging,No Accessorie,No zip,No Spout,,100 gm,120,200,40,3.95,,,,,,,,,,
,12,Vacuum Bags / Liquid Packaging,No Accessorie,No zip,No Spout,,150 gm,140,210,40,4.35,,,,,,,,,,
,12,Vacuum Bags / Liquid Packaging,No Accessorie,No zip,No Spout,,250 gm,160,230,45,5.25,,,,,,,,,,
,12,Vacuum Bags / Liquid Packaging,No Accessorie,No zip,No Spout,,500 gm,190,260,55,6.75,,,,,,,,,,
,20,"Chocolate Bar Packaging,",No Accessorie,No zip,No Spout,,50 gm,70,130,,,,,1.4,,,,1.85,,,
,20,"Chocolate Bar Packaging,",No Accessorie,No zip,No Spout,,70 gm,80,155,,,,,1.6,,,,2.2,,,
,19,Jerky Packaging,No Accessorie,No zip,No Spout,,30-60 gm,125,180,,3.7,,,,,,,,,,
,19,Jerky Packaging,No Accessorie,with Zipper,No Spout,,60-90 gm,175,225,,6.15,,,,,,,,,,
,28,Popcorn Bags,No Accessorie,with Zipper,No Spout,,Small,300,195,50,6.25,,,,,,,,,,
,28,Popcorn Bags,No Accessorie,with Zipper,No Spout,,Big,345,235,85,8.1,,,,,,,,,,
,10,Plastic Mailing Envelopes,No Accessorie,No zip,No Spout,,,150,235,50,2,,,,,,,,,,
,10,Plastic Mailing Envelopes,No Accessorie,No zip,No Spout,,,190,265,50,2.5,,,,,,,,,,
,10,Plastic Mailing Envelopes,No Accessorie,No zip,No Spout,,,255,335,50,3.9,,,,,,,,,,
,10,Plastic Mailing Envelopes,No Accessorie,No zip,No Spout,,,300,395,50,5.1,,,,,,,,,,
,10,Plastic Mailing Envelopes,No Accessorie,No zip,No Spout,,,355,490,50,7,,,,,,,,,,
,18,Storezo Bag Also Bulk Packaging Bag,No Accessorie,No zip,No Spout,,30 kg,650,1100,,50,,,,,,,,,,
,18,Storezo Bag Also Bulk Packaging Bag,No Accessorie,No zip,No Spout,,75 kg,750,1300,,65,,,,,,,,,,
,18,Storezo Bag Also Bulk Packaging Bag,No Accessorie,No zip,No Spout,,100 kg,750,1500,,75,,,,,,,,,,
,30,Aluminum foil stand up pouch,No Accessorie,No zip,Spout 10mm,,50 ml,80,110,25,4.6,,,,,,,,,,
,30,Aluminum foil stand up pouch,No Accessorie,No zip,Spout 10mm,,100 ml,90,130,25,4.95,,,,,,,,,,
,31,Aluminum foil stand up pouch,No Accessorie,No zip,Spout 10mm,,250 ml,120,170,40,6,,,,,,,,,,
,31,Aluminum foil stand up pouch,No Accessorie,No zip,Spout 10mm,,500 ml,140,210,40,7.35,,,,,,,,,,
,31,Aluminum foil stand up pouch,No Accessorie,No zip,Spout 10mm,,1 liter,170,265,45,9.4,,,,,,,,,,
,31,Aluminum foil stand up pouch,No Accessorie,No zip,Spout 10mm,,2 liter,220,330,55,14.65,,,,,,,,,,
,13,Clear Stand up Pouch,No Accessorie,No zip,Spout 10mm,,100 ml,100,140,30,4.3,,,,,,,,,,
,16,Clear Stand up Pouch,No Accessorie,No zip,Spout 10mm,,200 ml,110,170,40,5,,,,,,,,,,
,16,Clear Stand up Pouch,No Accessorie,No zip,Spout 10mm,,350 ml,120,200,40,5.75,,,,,,,,,,
,16,Clear Stand up Pouch,No Accessorie,No zip,Spout 10mm,,500 ml,140,210,40,6.4,,,,,,,,,,
,16,Clear Stand up Pouch,No Accessorie,No zip,Spout 10mm,,750 ml,160,230,45,7.28,,,,,,,,,,
,16,Clear Stand up Pouch,No Accessorie,No zip,Spout 10mm,,1 liter,190,260,55,9,,,,,,,,,,
,24,Ultra Clear Three Side Seal,Euro hole  or  Round hole,with Zipper,No Spout,,40 gm,100,165,,,,,2.15,,,,,,,
,24,Ultra Clear Three Side Seal,Euro hole  or  Round hole,with Zipper,No Spout,,120 gm,130,210,,,,,3,,,,,,,
,24,Ultra Clear Three Side Seal,Euro hole  or  Round hole,with Zipper,No Spout,,200 gm,160,230,,,,,3.8,,,,,,,
,24,Ultra Clear Three Side Seal,Euro hole  or  Round hole,with Zipper,No Spout,,350 gm,190,260,,,,,4.5,,,,,,,
,14,"Retort pouches aluminium foil Sup
Non microwaveable",No Accessorie,No zip,No Spout,,200 gm,100,175,35,4.6,,,,,,,,,,
,14,"Retort pouches aluminium foil Sup
Non microwaveable",No Accessorie,No zip,No Spout,,400 gm,140,180,40,6.1,,,,,,,,,,
,14,"Retort pouches aluminium foil Sup
Non microwaveable",No Accessorie,No zip,No Spout,,500 gm,150,200,40,7,,,,,,,,,,
,14,"Retort pouches aluminium foil Sup
Non microwaveable",No Accessorie,No zip,No Spout,,1 kg,180,250,45,9.5,,,,,,,,,,
,15,Retort pouchesaluminiumfoilThree Side SealNon microwaveable,No Accessorie,No zip,No Spout,,200 gm,140,180,,4.9,,,,,,,,,,
,15,Retort pouchesaluminiumfoilThree Side SealNon microwaveable,No Accessorie,No zip,No Spout,,300 gm,150,200,,5.5,,,,,,,,,,
,15,Retort pouchesaluminiumfoilThree Side SealNon microwaveable,No Accessorie,No zip,No Spout,,400 gm,180,200,,6.5,,,,,,,,,,
,15,Retort pouchesaluminiumfoilThree Side SealNon microwaveable,No Accessorie,No zip,No Spout,,500 gm,200,220,,7.65,,,,,,,,,,
,15,Retort pouchesaluminiumfoilThree Side SealNon microwaveable,No Accessorie,No zip,No Spout,,1 kg,200,260,,8.75,,,,,,,,,,
,15,Retort pouchesaluminiumfoilThree Side SealNon microwaveable,No Accessorie,No zip,No Spout,,1.5 kg,200,300,,10.5,,,,,,,,,,
,14,Retort pouchesClear Transparent Sup Non microwaveable,No Accessorie,No zip,No Spout,,200 gm,100,175,35,5.35,,,,,,,,,,
,14,Retort pouchesClear Transparent Sup Non microwaveable,No Accessorie,No zip,No Spout,,400 gm,140,180,40,7.2,,,,,,,,,,
,14,Retort pouchesClear Transparent Sup Non microwaveable,No Accessorie,No zip,No Spout,,500 gm,150,200,40,8,,,,,,,,,,
,14,Retort pouchesClear Transparent Sup Non microwaveable,No Accessorie,No zip,No Spout,,1 kg,180,250,45,11.45,,,,,,,,,,
,15,RetortpouchesClearTransparentThree Side Seal Non microwaveable,No Accessorie,No zip,No Spout,,200 gm,140,180,,6,,,,,,,,,,
,15,RetortpouchesClearTransparentThree Side Seal Non microwaveable,No Accessorie,No zip,No Spout,,300 gm,150,200,,6.8,,,,,,,,,,
,15,RetortpouchesClearTransparentThree Side Seal Non microwaveable,No Accessorie,No zip,No Spout,,400 gm,180,200,,8.1,,,,,,,,,,
,15,RetortpouchesClearTransparentThree Side Seal Non microwaveable,No Accessorie,No zip,No Spout,,500 gm,200,220,,9.65,,,,,,,,,,
,15,RetortpouchesClearTransparentThree Side Seal Non microwaveable,No Accessorie,No zip,No Spout,,1 kg,200,260,,11.3,,,,,,,,,,
,15,RetortpouchesClearTransparentThree Side Seal Non microwaveable,No Accessorie,No zip,No Spout,,1.5 kg,200,300,,13.1,,,,,,,,,,
,26,Juice  Standup pouch,Die cut Handle,with Zipper,No Spout,,600 ml,160,255,45,5.7,,,,,,,,,,
,35,Tintie,No Accessorie,TinTie 120mm / 70mm,No Spout,,,120,70,,3.65,,,,,,,3.65,,,
,35,Tintie,No Accessorie,TinTie 140mm / 88mm,No Spout,,,140,88,,4.05,,,,,,,4.05,,,
,35,Tintie,No Accessorie,TinTie 177mm / 125mm,No Spout,,,177,125,,4.75,,,,,,,4.75,,,
,36,SUP Economy Series - Matt Silver,No Accessorie,with Zipper,No Spout,,150 gm,130,210,80,3.2,,,,,,,,,,
,36,SUP Economy Series - Matt Silver,No Accessorie,with Zipper,No Spout,,250 gm,160,230,90,3.8,,,,,,,,,,
,36,SUP Economy Series - Matt Silver,No Accessorie,with Zipper,No Spout,,500 gm,190,260,100,4.85,,,,,,,,,,
